CRName  Row  Col  Date  Type  
CS 517   9   0   0.31   H   
CS 518   9   0   0.31   H   
CS 532   9   0   0.31   H   
CS 550   9   0   0.31   H   
CS 555   9   0   0.31   H   
CS 562   9   0   0.31   H   
CS 563   9   0   0.31   H   
CS 564   9   0   0.31   H   
CS 567   9   0   0.31   H   
CS 580   9   0   0.31   H   
CS 597   9   0   0.31   H   
CS 620   9   0   0.31   H   
CS 625   9   0   0.31   H   
CS 665   9   0   0.31   H   
CS 667   9   0   0.31   H   
CS 690   9   0   0.31   H   
CS 697   9   0   0.31   H   
CS 698   9   0   0.31   H   
CS 699   9   0   0.31   H   
CS 722   9   0   0.31   H   
CS 723   9   0   0.31   H   
CS 776   9   0   0.31   H   
CS 791   9   0   0.31   H   
CS 795   9   0   0.31   H   
CS 796   9   0   0.31   H   
CS 822   9   0   0.31   H   
CS 823   9   0   0.31   H   
CS 876   9   0   0.31   H   
CS 891   9   0   0.31   H   
CS 895   9   0   0.31   H   
CS 896   9   0   0.31   H   
CS 899   9   0   0.31   H   
CS 999   9   0   0.31   H   
CS 120G   10   0   0.31   H   
CS 121G   10   0   0.31   H   
CS 129   10   0   0.31   H   
CS 150   10   0   0.31   H   
CS 170   10   0   0.31   H   
CS 229   10   0   0.31   H   
CS 250   10   0   0.31   H   
CS 252   10   0   0.31   H   
CS 270   10   0   0.31   H   
CS 300T   10   0   0.31   H   
CS 312   10   0   0.31   H   
CS 330   10   0   0.31   H   
CS 334   10   0   0.31   H   
CS 350   10   0   0.31   H   
CS 355   10   0   0.31   H   
CS 361   10   0   0.31   H   
CS 367   10   0   0.31   H   
CS 368   10   0   0.31   H   
CS 381   10   0   0.31   H   
CS 382   10   0   0.31   H   
CS 390   10   0   0.31   H   
CS 395   10   0   0.31   H   
CS 402   10   0   0.31   H   
CS 410   10   0   0.31   H   
CS 411W   10   0   0.31   H   
CS 417   10   0   0.31   H   
CS 418   10   0   0.31   H   
CS 432   10   0   0.31   H   
CS 450   10   0   0.31   H   
CS 455   10   0   0.31   H   
CS 460   10   0   0.31   H   
CS 462   10   0   0.31   H   
CS 463   10   0   0.31   H   
CS 464   10   0   0.31   H   
CS 467   10   0   0.31   H   
CS 471   10   0   0.31   H   
CS 480   10   0   0.31   H   
CS 497   10   0   0.31   H   
CS 500   10   0   0.31   H   
CS 502   10   0   0.31   H   
CS 517   10   0   0.31   H   
CS 518   10   0   0.31   H   
CS 532   10   0   0.31   H   
CS 550   10   0   0.31   H   
CS 555   10   0   0.31   H   
CS 562   10   0   0.31   H   
CS 563   10   0   0.31   H   
CS 564   10   0   0.31   H   
CS 567   10   0   0.31   H   
CS 580   10   0   0.31   H   
CS 597   10   0   0.31   H   
CS 620   10   0   0.31   H   
CS 625   10   0   0.31   H   
CS 665   10   0   0.31   H   
CS 667   10   0   0.31   H   
CS 690   10   0   0.31   H   
CS 697   10   0   0.31   H   
CS 698   10   0   0.31   H   
CS 699   10   0   0.31   H   
CS 722   10   0   0.31   H   
